sale_id,date,medication,category,unit,quantity_sold,unit_price,payment_method,total_price
50,2025-03-03,Levothyroxine 50mcg,Antibiotics,Bottle,22,63.95,Insurance,1406.9
168,2025-03-03,Vitamin D3 1000IU,Pain Relief,Strip,13,99.47,Card,1293.11
232,2025-03-03,Amoxicillin 500mg,Diabetes,Strip,21,159.82,Cash,3356.22
259,2025-03-03,Azithromycin 500mg,Pain Relief,Tab,2,86.84,Cash,173.68
308,2025-03-03,Amoxicillin 500mg,Diabetes,Strip,23,201.28,Insurance,4629.44
315,2025-03-03,Omeprazole 20mg,Gastrointestinal,Bottle,2,157.76,UPI,315.52
362,2025-03-03,Metformin 500mg,Gastrointestinal,Vial,20,190.25,Card,3805.0
402,2025-03-03,Atorvastatin 10mg,Antibiotics,Vial,18,30.16,Cash,542.88
462,2025-03-03,Paracetamol 500mg,Gastrointestinal,Vial,9,196.0,Insurance,1764.0
469,2025-03-03,Pantoprazole 40mg,Allergy,Strip,22,83.13,UPI,1828.86
598,2025-03-03,Ibuprofen 400mg,Allergy,Bottle,2,103.15,UPI,206.3
667,2025-03-03,Cetirizine 10mg,Antibiotics,Capsule,9,159.97,Card,1439.73
835,2025-03-03,Pantoprazole 40mg,Pain Relief,Tab,18,76.81,Card,1382.58
847,2025-03-03,Amlodipine 5mg,Allergy,Vial,5,193.67,UPI,968.35
888,2025-03-03,Metformin 500mg,Pain Relief,Capsule,8,54.74,Insurance,437.92
978,2025-03-03,Vitamin D3 1000IU,Allergy,Tab,16,240.73,Cash,3851.68
1011,2025-03-03,Metformin 500mg,Gastrointestinal,Capsule,17,85.04,Insurance,1445.68
1096,2025-03-03,Cetirizine 10mg,Pain Relief,Strip,3,246.18,Card,738.54
1098,2025-03-03,Pantoprazole 40mg,Gastrointestinal,Strip,17,90.31,Card,1535.27
1163,2025-03-03,Ibuprofen 400mg,Vitamins & Supplements,Tab,2,233.81,Card,467.62
1196,2025-03-03,Metformin 500mg,Allergy,Vial,23,142.51,UPI,3277.73
1242,2025-03-03,Omeprazole 20mg,Pain Relief,Strip,7,88.45,Insurance,619.15
1294,2025-03-03,Ibuprofen 400mg,Gastrointestinal,Tab,6,204.87,UPI,1229.22
1389,2025-03-03,Atorvastatin 10mg,Pain Relief,Capsule,6,45.23,Cash,271.38
1611,2025-03-03,Amoxicillin 500mg,Gastrointestinal,Strip,22,75.92,UPI,1670.24
1631,2025-03-03,Atorvastatin 10mg,Cardiovascular,Strip,7,229.63,UPI,1607.41
1640,2025-03-03,Ibuprofen 400mg,Cardiovascular,Strip,15,86.32,UPI,1294.8
1687,2025-03-03,Atorvastatin 10mg,Vitamins & Supplements,Capsule,20,125.83,Cash,2516.6
1838,2025-03-03,Ibuprofen 400mg,Vitamins & Supplements,Bottle,15,148.25,Cash,2223.75
1927,2025-03-03,Ibuprofen 400mg,Cardiovascular,Capsule,16,172.99,Card,2767.84
1988,2025-03-03,Paracetamol 500mg,Antibiotics,Bottle,7,38.04,Card,266.28
58,2025-03-04,Ibuprofen 400mg,Diabetes,Bottle,6,202.37,UPI,1214.22
82,2025-03-04,Levothyroxine 50mcg,Gastrointestinal,Strip,11,169.35,Cash,1862.85
87,2025-03-04,Omeprazole 20mg,Gastrointestinal,Vial,23,116.28,Cash,2674.44
189,2025-03-04,Metformin 500mg,Allergy,Bottle,23,191.31,UPI,4400.13
285,2025-03-04,Paracetamol 500mg,Gastrointestinal,Strip,7,76.82,Card,537.74
393,2025-03-04,Atorvastatin 10mg,Cardiovascular,Bottle,9,55.94,Insurance,503.46
433,2025-03-04,Amlodipine 5mg,Diabetes,Bottle,1,176.76,Insurance,176.76
546,2025-03-04,Amlodipine 5mg,Antibiotics,Capsule,4,79.41,Card,317.64
645,2025-03-04,Amoxicillin 500mg,Allergy,Vial,3,96.34,Cash,289.02
695,2025-03-04,Pantoprazole 40mg,Cardiovascular,Tab,8,223.64,UPI,1789.12
821,2025-03-04,Omeprazole 20mg,Antibiotics,Strip,6,46.67,UPI,280.02
996,2025-03-04,Levothyroxine 50mcg,Antibiotics,Vial,13,56.38,Cash,732.94
1061,2025-03-04,Atorvastatin 10mg,Cardiovascular,Strip,15,59.18,UPI,887.7
1091,2025-03-04,Ibuprofen 400mg,Pain Relief,Vial,12,122.78,Cash,1473.36
1093,2025-03-04,Paracetamol 500mg,Thyroid,Vial,14,131.85,Insurance,1845.9
1194,2025-03-04,Amoxicillin 500mg,Vitamins & Supplements,Vial,6,74.98,Card,449.88
1233,2025-03-04,Amoxicillin 500mg,Gastrointestinal,Vial,11,249.43,Cash,2743.73
1255,2025-03-04,Ibuprofen 400mg,Diabetes,Bottle,5,165.06,Cash,825.3
1277,2025-03-04,Azithromycin 500mg,Allergy,Tab,1,45.26,Insurance,45.26
1356,2025-03-04,Vitamin D3 1000IU,Allergy,Strip,3,178.39,Card,535.17
1412,2025-03-04,Amoxicillin 500mg,Vitamins & Supplements,Strip,5,85.16,Cash,425.8
1436,2025-03-04,Pantoprazole 40mg,Thyroid,Tab,5,216.12,Cash,1080.6
1477,2025-03-04,Omeprazole 20mg,Thyroid,Tab,20,212.06,Card,4241.2
1605,2025-03-04,Cetirizine 10mg,Pain Relief,Vial,14,21.15,Cash,296.1
1656,2025-03-04,Amoxicillin 500mg,Pain Relief,Vial,2,203.77,Cash,407.54
1730,2025-03-04,Atorvastatin 10mg,Cardiovascular,Tab,6,102.56,Insurance,615.36
1939,2025-03-04,Omeprazole 20mg,Vitamins & Supplements,Vial,13,19.77,UPI,257.01
1994,2025-03-04,Cetirizine 10mg,Vitamins & Supplements,Tab,2,210.84,Insurance,421.68
140,2025-03-05,Vitamin D3 1000IU,Gastrointestinal,Tab,19,157.81,UPI,2998.39
170,2025-03-05,Paracetamol 500mg,Allergy,Capsule,21,69.66,Card,1462.86
293,2025-03-05,Amlodipine 5mg,Pain Relief,Bottle,7,115.8,Insurance,810.6
351,2025-03-05,Pantoprazole 40mg,Cardiovascular,Vial,17,118.09,Card,2007.53
429,2025-03-05,Cetirizine 10mg,Thyroid,Strip,15,111.42,Card,1671.3
544,2025-03-05,Atorvastatin 10mg,Cardiovascular,Bottle,2,194.84,Insurance,389.68
594,2025-03-05,Amoxicillin 500mg,Thyroid,Bottle,19,223.57,Insurance,4247.83
609,2025-03-05,Metformin 500mg,Pain Relief,Strip,18,41.41,UPI,745.38
615,2025-03-05,Metformin 500mg,Diabetes,Vial,22,54.36,Card,1195.92
631,2025-03-05,Amoxicillin 500mg,Cardiovascular,Capsule,20,96.96,UPI,1939.2
643,2025-03-05,Atorvastatin 10mg,Gastrointestinal,Strip,24,177.16,Insurance,4251.84
760,2025-03-05,Azithromycin 500mg,Gastrointestinal,Vial,12,196.63,UPI,2359.56
781,2025-03-05,Omeprazole 20mg,Allergy,Bottle,7,125.84,Insurance,880.88
806,2025-03-05,Amlodipine 5mg,Antibiotics,Vial,21,46.03,Card,966.63
934,2025-03-05,Azithromycin 500mg,Gastrointestinal,Strip,10,153.11,Card,1531.1
944,2025-03-05,Atorvastatin 10mg,Antibiotics,Vial,23,31.92,Card,734.16
974,2025-03-05,Metformin 500mg,Allergy,Vial,10,248.3,Cash,2483.0
976,2025-03-05,Paracetamol 500mg,Pain Relief,Tab,24,231.67,Cash,5560.08
1018,2025-03-05,Pantoprazole 40mg,Diabetes,Strip,7,175.61,UPI,1229.27
1059,2025-03-05,Amoxicillin 500mg,Thyroid,Vial,12,159.82,Card,1917.84
1070,2025-03-05,Omeprazole 20mg,Gastrointestinal,Vial,17,65.79,Cash,1118.43
1107,2025-03-05,Levothyroxine 50mcg,Pain Relief,Capsule,17,210.76,Card,3582.92
1115,2025-03-05,Atorvastatin 10mg,Cardiovascular,Vial,15,215.66,Cash,3234.9
1273,2025-03-05,Pantoprazole 40mg,Thyroid,Vial,13,211.9,Insurance,2754.7
1300,2025-03-05,Omeprazole 20mg,Antibiotics,Capsule,12,185.65,Card,2227.8
1323,2025-03-05,Paracetamol 500mg,Cardiovascular,Tab,2,188.81,Insurance,377.62
1351,2025-03-05,Ibuprofen 400mg,Thyroid,Vial,5,117.74,Card,588.7
1416,2025-03-05,Omeprazole 20mg,Allergy,Tab,5,163.18,Cash,815.9
1433,2025-03-05,Cetirizine 10mg,Antibiotics,Capsule,7,234.48,UPI,1641.36
1449,2025-03-05,Cetirizine 10mg,Diabetes,Vial,1,71.22,Cash,71.22
1478,2025-03-05,Azithromycin 500mg,Diabetes,Vial,16,125.7,Insurance,2011.2
1682,2025-03-05,Atorvastatin 10mg,Cardiovascular,Tab,15,223.65,Card,3354.75
1692,2025-03-05,Levothyroxine 50mcg,Diabetes,Strip,5,229.24,Card,1146.2
1806,2025-03-05,Vitamin D3 1000IU,Antibiotics,Capsule,8,204.34,Insurance,1634.72
1984,2025-03-05,Azithromycin 500mg,Gastrointestinal,Tab,7,221.76,Cash,1552.32
84,2025-03-06,Amoxicillin 500mg,Thyroid,Strip,2,48.84,Card,97.68
211,2025-03-06,Levothyroxine 50mcg,Cardiovascular,Tab,12,121.3,UPI,1455.6
234,2025-03-06,Paracetamol 500mg,Vitamins & Supplements,Vial,7,106.73,Cash,747.11
282,2025-03-06,Omeprazole 20mg,Pain Relief,Capsule,2,178.9,Card,357.8
296,2025-03-06,Atorvastatin 10mg,Antibiotics,Capsule,23,50.2,Cash,1154.6
305,2025-03-06,Amoxicillin 500mg,Allergy,Capsule,17,32.12,UPI,546.04
443,2025-03-06,Azithromycin 500mg,Vitamins & Supplements,Tab,6,140.82,Insurance,844.92
532,2025-03-06,Metformin 500mg,Thyroid,Capsule,7,211.2,Insurance,1478.4
547,2025-03-06,Amoxicillin 500mg,Vitamins & Supplements,Capsule,18,203.27,UPI,3658.86
823,2025-03-06,Ibuprofen 400mg,Thyroid,Capsule,3,129.09,Card,387.27
858,2025-03-06,Omeprazole 20mg,Allergy,Tab,16,17.66,Cash,282.56
931,2025-03-06,Ibuprofen 400mg,Thyroid,Strip,21,143.64,Insurance,3016.44
971,2025-03-06,Azithromycin 500mg,Thyroid,Bottle,13,59.27,Card,770.51
1072,2025-03-06,Paracetamol 500mg,Pain Relief,Tab,2,116.44,Card,232.88
1113,2025-03-06,Pantoprazole 40mg,Cardiovascular,Capsule,18,151.9,Insurance,2734.2
1214,2025-03-06,Pantoprazole 40mg,Cardiovascular,Strip,21,111.84,Card,2348.64
1222,2025-03-06,Amlodipine 5mg,Vitamins & Supplements,Tab,18,173.86,Cash,3129.48
1229,2025-03-06,Cetirizine 10mg,Pain Relief,Capsule,20,119.42,Insurance,2388.4
1230,2025-03-06,Metformin 500mg,Pain Relief,Vial,8,236.84,Insurance,1894.72
1250,2025-03-06,Levothyroxine 50mcg,Diabetes,Capsule,16,84.52,Card,1352.32
1257,2025-03-06,Pantoprazole 40mg,Vitamins & Supplements,Capsule,21,232.68,UPI,4886.28
1274,2025-03-06,Omeprazole 20mg,Diabetes,Vial,7,222.45,Cash,1557.15
1296,2025-03-06,Atorvastatin 10mg,Diabetes,Vial,22,40.89,UPI,899.58
1387,2025-03-06,Pantoprazole 40mg,Cardiovascular,Bottle,18,18.23,UPI,328.14
1388,2025-03-06,Omeprazole 20mg,Pain Relief,Strip,9,231.53,Cash,2083.77
1455,2025-03-06,Metformin 500mg,Vitamins & Supplements,Strip,16,152.86,UPI,2445.76
1547,2025-03-06,Cetirizine 10mg,Vitamins & Supplements,Vial,6,205.61,Insurance,1233.66
1739,2025-03-06,Azithromycin 500mg,Vitamins & Supplements,Strip,15,73.18,UPI,1097.7
1761,2025-03-06,Paracetamol 500mg,Diabetes,Capsule,18,174.6,Card,3142.8
1872,2025-03-06,Metformin 500mg,Gastrointestinal,Capsule,6,91.2,Card,547.2
53,2025-03-07,Amoxicillin 500mg,Diabetes,Vial,23,44.52,Cash,1023.96
72,2025-03-07,Azithromycin 500mg,Allergy,Vial,24,130.34,UPI,3128.16
125,2025-03-07,Omeprazole 20mg,Antibiotics,Vial,19,78.1,Card,1483.9
146,2025-03-07,Paracetamol 500mg,Pain Relief,Vial,12,146.51,Insurance,1758.12
201,2025-03-07,Paracetamol 500mg,Vitamins & Supplements,Strip,8,157.85,Insurance,1262.8
319,2025-03-07,Metformin 500mg,Gastrointestinal,Capsule,16,76.34,Insurance,1221.44
338,2025-03-07,Amoxicillin 500mg,Gastrointestinal,Capsule,24,104.88,UPI,2517.12
401,2025-03-07,Atorvastatin 10mg,Thyroid,Capsule,4,156.43,Cash,625.72
502,2025-03-07,Vitamin D3 1000IU,Thyroid,Strip,5,206.42,Cash,1032.1
694,2025-03-07,Pantoprazole 40mg,Allergy,Tab,1,123.93,Card,123.93
750,2025-03-07,Metformin 500mg,Gastrointestinal,Capsule,18,64.83,Insurance,1166.94
796,2025-03-07,Metformin 500mg,Vitamins & Supplements,Bottle,7,89.84,Insurance,628.88
818,2025-03-07,Metformin 500mg,Gastrointestinal,Bottle,7,108.48,Cash,759.36
1162,2025-03-07,Atorvastatin 10mg,Allergy,Vial,9,240.39,UPI,2163.51
1390,2025-03-07,Metformin 500mg,Allergy,Capsule,23,119.76,Card,2754.48
1531,2025-03-07,Amoxicillin 500mg,Antibiotics,Strip,21,79.68,Insurance,1673.28
1545,2025-03-07,Vitamin D3 1000IU,Pain Relief,Vial,17,87.75,Card,1491.75
1560,2025-03-07,Ibuprofen 400mg,Antibiotics,Vial,17,117.52,Card,1997.84
1571,2025-03-07,Amlodipine 5mg,Allergy,Strip,18,91.17,Card,1641.06
1625,2025-03-07,Omeprazole 20mg,Diabetes,Tab,21,90.92,Cash,1909.32
1666,2025-03-07,Paracetamol 500mg,Allergy,Capsule,3,17.51,Card,52.53
1668,2025-03-07,Metformin 500mg,Allergy,Bottle,3,208.09,UPI,624.27
1769,2025-03-07,Vitamin D3 1000IU,Cardiovascular,Vial,21,137.24,UPI,2882.04
1888,2025-03-07,Pantoprazole 40mg,Thyroid,Tab,24,106.83,Insurance,2563.92
1895,2025-03-07,Levothyroxine 50mcg,Diabetes,Strip,22,39.29,UPI,864.38
1899,2025-03-07,Vitamin D3 1000IU,Gastrointestinal,Tab,23,64.39,Cash,1480.97
6,2025-03-08,Atorvastatin 10mg,Allergy,Capsule,2,163.55,Cash,327.1
74,2025-03-08,Azithromycin 500mg,Pain Relief,Capsule,12,160.2,Insurance,1922.4
100,2025-03-08,Amlodipine 5mg,Antibiotics,Vial,19,177.41,UPI,3370.79
130,2025-03-08,Pantoprazole 40mg,Pain Relief,Vial,12,30.46,UPI,365.52
135,2025-03-08,Pantoprazole 40mg,Diabetes,Strip,18,224.46,Insurance,4040.28
148,2025-03-08,Paracetamol 500mg,Allergy,Bottle,13,96.98,Card,1260.74
235,2025-03-08,Azithromycin 500mg,Gastrointestinal,Tab,24,228.63,UPI,5487.12
372,2025-03-08,Cetirizine 10mg,Pain Relief,Vial,5,112.91,Card,564.55
400,2025-03-08,Vitamin D3 1000IU,Cardiovascular,Vial,19,155.57,UPI,2955.83
419,2025-03-08,Metformin 500mg,Pain Relief,Bottle,14,47.5,Cash,665.0
508,2025-03-08,Pantoprazole 40mg,Cardiovascular,Vial,17,50.79,Insurance,863.43
539,2025-03-08,Vitamin D3 1000IU,Gastrointestinal,Vial,17,128.17,Card,2178.89
686,2025-03-08,Levothyroxine 50mcg,Cardiovascular,Vial,13,199.48,Card,2593.24
811,2025-03-08,Omeprazole 20mg,Gastrointestinal,Tab,4,96.37,Cash,385.48
843,2025-03-08,Ibuprofen 400mg,Allergy,Tab,16,230.04,Cash,3680.64
897,2025-03-08,Pantoprazole 40mg,Cardiovascular,Vial,4,246.01,Insurance,984.04
903,2025-03-08,Ibuprofen 400mg,Gastrointestinal,Vial,7,91.79,Card,642.53
908,2025-03-08,Metformin 500mg,Vitamins & Supplements,Vial,6,119.73,Insurance,718.38
1004,2025-03-08,Amoxicillin 500mg,Thyroid,Tab,18,186.94,Card,3364.92
1090,2025-03-08,Amlodipine 5mg,Pain Relief,Capsule,4,224.76,Card,899.04
1141,2025-03-08,Cetirizine 10mg,Pain Relief,Tab,4,243.31,UPI,973.24
1206,2025-03-08,Ibuprofen 400mg,Cardiovascular,Strip,12,210.58,Cash,2526.96
1268,2025-03-08,Cetirizine 10mg,Cardiovascular,Capsule,11,41.48,Insurance,456.28
1341,2025-03-08,Levothyroxine 50mcg,Gastrointestinal,Strip,3,22.88,Card,68.64
1363,2025-03-08,Pantoprazole 40mg,Vitamins & Supplements,Vial,16,148.25,Card,2372.0
1392,2025-03-08,Metformin 500mg,Pain Relief,Bottle,1,223.99,Card,223.99
1432,2025-03-08,Amoxicillin 500mg,Antibiotics,Capsule,2,156.84,UPI,313.68
1456,2025-03-08,Paracetamol 500mg,Gastrointestinal,Capsule,19,161.73,Cash,3072.87
1481,2025-03-08,Amoxicillin 500mg,Diabetes,Tab,12,186.55,UPI,2238.6
1607,2025-03-08,Atorvastatin 10mg,Gastrointestinal,Capsule,4,156.97,UPI,627.88
1627,2025-03-08,Atorvastatin 10mg,Cardiovascular,Bottle,11,84.95,Insurance,934.45
1635,2025-03-08,Cetirizine 10mg,Thyroid,Tab,12,162.44,Cash,1949.28
1645,2025-03-08,Metformin 500mg,Gastrointestinal,Capsule,20,29.68,Insurance,593.6
1864,2025-03-08,Paracetamol 500mg,Antibiotics,Tab,2,54.54,Cash,109.08
1873,2025-03-08,Azithromycin 500mg,Vitamins & Supplements,Vial,12,41.09,UPI,493.08
1903,2025-03-08,Vitamin D3 1000IU,Thyroid,Bottle,14,23.16,Cash,324.24
55,2025-03-09,Paracetamol 500mg,Gastrointestinal,Tab,17,223.19,Insurance,3794.23
64,2025-03-09,Cetirizine 10mg,Antibiotics,Capsule,21,39.18,Insurance,822.78
126,2025-03-09,Atorvastatin 10mg,Vitamins & Supplements,Vial,23,130.71,UPI,3006.33
147,2025-03-09,Azithromycin 500mg,Gastrointestinal,Bottle,18,80.65,Insurance,1451.7
176,2025-03-09,Paracetamol 500mg,Pain Relief,Bottle,7,132.43,Insurance,927.01
237,2025-03-09,Atorvastatin 10mg,Cardiovascular,Vial,8,195.74,Cash,1565.92
302,2025-03-09,Paracetamol 500mg,Diabetes,Tab,7,106.19,Insurance,743.33
356,2025-03-09,Atorvastatin 10mg,Gastrointestinal,Capsule,13,180.76,Insurance,2349.88
486,2025-03-09,Atorvastatin 10mg,Pain Relief,Bottle,17,87.82,Insurance,1492.94
575,2025-03-09,Paracetamol 500mg,Gastrointestinal,Strip,7,26.6,Card,186.2
710,2025-03-09,Omeprazole 20mg,Cardiovascular,Capsule,2,18.15,Cash,36.3
749,2025-03-09,Paracetamol 500mg,Diabetes,Tab,7,185.14,Card,1295.98
790,2025-03-09,Azithromycin 500mg,Thyroid,Bottle,15,169.07,Insurance,2536.05
801,2025-03-09,Atorvastatin 10mg,Cardiovascular,Capsule,11,218.17,Card,2399.87
920,2025-03-09,Pantoprazole 40mg,Antibiotics,Strip,8,26.86,Card,214.88
990,2025-03-09,Metformin 500mg,Gastrointestinal,Tab,15,166.75,UPI,2501.25
1126,2025-03-09,Vitamin D3 1000IU,Pain Relief,Strip,16,206.09,Card,3297.44
1240,2025-03-09,Pantoprazole 40mg,Pain Relief,Tab,18,56.37,Cash,1014.66
1311,2025-03-09,Metformin 500mg,Antibiotics,Bottle,21,90.73,Card,1905.33
1313,2025-03-09,Amoxicillin 500mg,Vitamins & Supplements,Capsule,10,246.79,Card,2467.9
1331,2025-03-09,Levothyroxine 50mcg,Pain Relief,Bottle,16,48.26,Insurance,772.16
1487,2025-03-09,Amlodipine 5mg,Thyroid,Tab,24,22.83,Insurance,547.92
1515,2025-03-09,Amoxicillin 500mg,Diabetes,Vial,3,18.63,UPI,55.89
1517,2025-03-09,Amlodipine 5mg,Thyroid,Vial,23,67.7,UPI,1557.1
1696,2025-03-09,Levothyroxine 50mcg,Antibiotics,Strip,9,58.05,Insurance,522.45
1719,2025-03-09,Pantoprazole 40mg,Cardiovascular,Bottle,15,238.59,Card,3578.85
1725,2025-03-09,Azithromycin 500mg,Gastrointestinal,Strip,17,139.66,Insurance,2374.22
1822,2025-03-09,Omeprazole 20mg,Thyroid,Strip,13,67.6,UPI,878.8
1826,2025-03-09,Paracetamol 500mg,Diabetes,Strip,12,63.11,Cash,757.32
1827,2025-03-09,Atorvastatin 10mg,Allergy,Tab,19,93.68,Insurance,1779.92
1900,2025-03-09,Amoxicillin 500mg,Gastrointestinal,Tab,14,131.96,Card,1847.44
94,2025-03-10,Cetirizine 10mg,Diabetes,Capsule,15,156.14,UPI,2342.1
